nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT00042991,Gefitinib and Radiation Therapy in Treating Children With Newly Diagnosed Gliomas,PHASE1,Untreated Childhood Anaplastic Astrocytoma,,,
NCT00931918,Study to Assess the Effectiveness of RCHOP With or Without VELCADE in Previously Untreated Non-Germinal Center B-Cell-like Diffuse Large B-Cell Lymphoma Patients,PHASE2,Non-Germinal B-Cell-like (GCB) Diffuse Large B-cell Lymphoma (DLBCL),,,
NCT07066813,Staging Strategies and Their Association With Prognosis and Therapy in Lung Cancer With Cystic Airspaces (STAGE),,Lung Cancer Associated With Cystic Airspaces,the most accurate tumor size measurement method for T-staging and prognostic assessment in lung cancer with cystic airspaces (LCCA),,
NCT00457860,"Safety Study of CAT-8015 Immunotoxin in Patients With CLL, PLL or SLL With Advance Disease",PHASE1,Leukemia,"the maximum tolerated dose of CAT-8015 immunotoxin in treating patients who have chronic lymphocytic leukemia, prolymphocytic leukemia or small lymphocytic lymphoma that has not responded to treatment",,
NCT02693860,Neoadjuvant J591 Treatment for Prostate Cancer,PHASE1,Prostate Cancer,,,
NCT01398982,TAP Block in DIEP or Free MS-TRAM Donor Site: A RCT,PHASE4,Transversus Abdominis Plane (TAP) Block Catheter,a TAP block in reducing postoperative abdominal pain following abdominal tissue breast reconstruction,,
NCT01309282,An Observational Study of MabThera/Rituxan (Rituximab) in Patients With Sero-Positive Rheumatoid Arthritis Who Are Non-Responders or Intolerant to a Single TNF-Inhibitor (PORTSMAB),,Rheumatoid Arthritis,the long-term efficacy and safety of MabThera/Rituxan in routine clinical practice in patients with sero-positive rheumatoid arthritis who are non-responders or intolerant to a single tumour necrosis factor (TNF) inhibitor,,
NCT00506324,Oropharyngeal Function After Radiotherapy With IMRT,,Head and Neck Neoplasms,are: 1) define the physiologic effects of chemoradiotherapy with IMRT to various sites in the upper aerodigestive/vocal tract including the cervical esophagus and the rate at which patients return to oral intake,laryngeal elevation,
NCT04687423,Study of FCN-011 in Patients With Advanced Solid Tumor（Phase I）and NTRK Fusion Positive Advanced Solid Tumor （Phase II）,PHASE1,Advanced Solid Tumor,"the safety, tolerability, pharmacokinetic characteristics, and primary antitumor activity of FCN-011 in patients with advanced solid tumor (phase I) and NTRK fusion positive advanced solid tumor (phase II)",,
NCT02716623,The Feasibility of a Diet and Exercise Intervention in Diabetics During Treatment for Non-muscle Invasive Bladder Cancer,NA,Bladder Cancer,,,
NCT05373823,MySmartSkin Online Skin Self-exam Intervention for Melanoma Survivors,NA,Melanoma,1 will focus on enhancing the previous version of MSS by collaborating with multi-level stakeholders in qualitative interviews and usability testing,,
NCT04431024,"Prospective Evaluation of High Resolution Dual Energy Computed Tomographic Imaging, Noninvasive (Liquid) Biopsies, and Minimally Invasive Surgical Surveillance for Early Detection of Mesotheliomas in Patients With BAP1 Tumor Predisposition Syndrome",,Familial Cancer,To see if researchers can improve how people who have or are suspected to have a BAP1 mutation are monitored over time,,
NCT01902823,Effect of Cancer Nurse Navigators on Patient Outcomes,PHASE2,Lung Cancer,1,the feasibility of studying the impact of Aurora CNN Program,
NCT00806923,A Study of Avastin (Bevacizumab) in Patients With Non-Squamous Non-Small Cell Lung Cancer (NSCLC),PHASE3,Non-Squamous Non-Small Cell Lung Cancer,,,
NCT01721759,Study of Nivolumab (BMS-936558) in Patients With Advanced or Metastatic Squamous Cell Nonsmall-cell Lung Cancer Who Have Received At Least 2 Prior Systemic Regimens,PHASE2,Squamous Cell Non-small Cell Lung Cancer,response rate (change in tumor size from baseline) in patients with advanced or metastatic squamous cell nonsmall-cell lung cancer treated with Nivolumab (BMS-936558) after failure of 2 prior systemic regimens,the objective response rate (change in tumor size from baseline) in patients with advanced or metastatic squamous cell nonsmall-cell lung cancer treated with Nivolumab (BMS-936558) after failure of 2 prior systemic regimens,
NCT01881659,Cervical Cancer Screening With Human Papillomavirus Testing,,CIN3,,,
NCT06391879,Establishment of a Multidimensional Prediction Model for the Natural Course of VHL Disease-related Renal Cell Carcinoma,,VHL Syndrome,to retrospectively and prospectively analyze the factors related to the natural course of VHL-related RCC,,
NCT01804179,"Colorectal Cancer Awareness, Research, Education and Screening (CARES)",NA,Colorectal Cancer,,,
NCT02962596,EURAD MRI Classification of US Indeterminate Adnexa Lesions,,Ovarian Tumor,,,
NCT06272162,Locally Advanced Pancreatic Cancer After Systemic Therapy: Ablative MR-guided Radiotherapy,NA,Locally Advanced Pancreatic Adenocarcinoma,,,
NCT02376296,Observational Study of Docetaxel Exposure in Metastatic Prostate Cancer Patients,,Prostate Cancer,,,
NCT01870596,Cytarabine With or Without SCH 900776 in Treating Adult Patients With Relapsed Acute Myeloid Leukemia,PHASE2,Adult Acute Megakaryoblastic Leukemia,,,
NCT05906862,AMT-253 in Patients With Selected Advanced Solid Tumours,PHASE1,Advanced Solid Tumor,,,
NCT03336762,Injured Spinal Cord Pressure Evaluation Study - Transverse Myelitis,,Transverse Myelitis,cord perfusion and metabolism in patients with severe spinal cord damage from transverse myelitis,,
NCT06376162,Ziftomenib in Combination With Chemotherapy for Children With Relapsed/Refractory Acute Leukemia,PHASE1,Relapsed/Refractory KMT2A-r Acute Leukemia,"of the study is to determine the recommended phase 2 dose (RP2D) of ziftomenib in combination with chemotherapy (FLA) in children with relapsed or refractory KMT2A-r, NUP98-r, or NPM1-m acute leukemia based on safety and pharmacokinetics (PK)","the recommended phase 2 dose (RP2D) of ziftomenib in combination with chemotherapy (FLA) in children with relapsed or refractory KMT2A-r, NUP98-r, or NPM1-m acute leukemia based on safety and pharmacokinetics (PK)",
NCT03904862,Testing the Safety and Tolerability of CX-4945 in Patients With Recurrent Medulloblastoma Who May or May Not Have Surgery,PHASE1,"Medulloblastoma, Childhood",,,
NCT01085396,Use of Fiber-optic Probe for Non-invasive Diagnosis of Melanoma and Assessment of Impact of Ultraviolet (UV) Exposure on Skin,,Melanoma,,,
NCT00458796,Comparison of Two Schedules of Zoledronic Acid in Treating Patients With Breast Cancer That Has Spread to the Bone,NA,Breast Cancer,,,
NCT02638896,Dose Reduction of Etanercept in Patients With Ankylosing Spondylitis,PHASE4,Ankylosing Spondylitis,of this study is to evaluate the efficacy of safety of etanercept dose reduction combined with sulfasalazine in ankylosing spondylitis (AS) patients who have achieved a significant clinical response,the efficacy of safety of etanercept dose reduction combined with sulfasalazine in ankylosing spondylitis (AS) patients who have achieved a significant clinical response,safety of etanercept dose reduction combined with sulfasalazine in ankylosing spondylitis (AS) patients who have achieved a significant clinical response
NCT03949062,Study Evaluating the Safety and Efficacy of iR2 in Untreated and Unfit Elderly Patients With DLBCL,PHASE2,Diffuse Large B Cell Lymphoma,,,
NCT07063888,A Prospective Phase II Study of Postoperative Concurrent Chemoradiotherapy in Patients With Intrahepatic Cholangiocarcinoma,PHASE2,Intrahepatic Cholangiocarcinoma (Icc),is 2-year recurrence-free survival,,
NCT06276088,Plasma and Tissue SAA1 Levels in Cancer Patients to Predict Hyperprogression of Immunotherapy,,Immunotherapy,,,
NCT00536588,A Safety and Tolerability Study of SCH 721015 in Patients With Transitional Cell Carcinoma of the Bladder (Study P03816),PHASE1,Bladder Neoplasms,the safety and tolerability of SCH 721015 in subjects with transitional cell carcinoma of the bladder,,
NCT00355888,Safety Study of MBP-426 (Liposomal Oxaliplatin Suspension for Injection) to Treat Advanced or Metastatic Solid Tumors,PHASE1,Cancer,whether MBP-426 (liposomal oxaliplatin suspension for injection) is safe and effective in the treatment of advanced or metastatic solid tumors,,
NCT05104788,A Study of Icotinib With Chemotherapy as Neoadjuvant Therapy for Patients With EGFRm Positive Resectable Non-Small Cell Lung Cancer,PHASE2,Non-Small Cell Lung Cancer,,,
NCT06621303,Autonomous Regulatory Monocytes (OPM Cells) for the Treatment of Diabetic Foot in a Single-arm Open-label Clinical Study,EARLY_PHASE1,Diabetic Foot Ulcer,"： As a clinical study initiated by researchers, this study aims to explore the safety and preliminary efficacy of OPM cells in reducing complications in diabetic foot patients",the safety and preliminary efficacy of OPM cells in the treatment of diabetic ulcers,OPM cells in the treatment of diabetic ulcers
NCT02491827,Confocal Laser Endomicroscopy (CLE) During Medically Induced Neurosurgery in Craniobasal and Glioma Tumours,,Cerebral Tumors,,,
NCT00001827,p53 Vaccine for Ovarian Cancer,PHASE2,Ovarian Neoplasm,,,
NCT03401827,The Effect of Gemcitabine Plus Nab-paclitaxel as Secondary Chemotherapy in Advanced Pancreatic Cancer,PHASE4,Pancreatic Adenocarcinoma,of this study was to evaluate the efficacy of GnP as a second-line treatment after failed FOLFIRINOX treatment for locally advanced or metastatic pancreatic ductal adenocarcinoma,the efficacy of GnP as a second-line treatment after failed FOLFIRINOX treatment for locally advanced or metastatic pancreatic ductal adenocarcinoma,GnP as a second-line treatment after failed FOLFIRINOX treatment for locally advanced or metastatic pancreatic ductal adenocarcinoma
NCT07173127,The Impact of a Novel GnRH Antagonist With Add-back Therapy for Treatment of Uterine Fibroids and Endometriosis on Hemostasis Parameters,NA,Uterine Fibroid,of this study is to document the effects of Ryeqo® on hemostasis parameters in order to estimate the risk of VTE associated with its employ,,
NCT03349827,HIPEC and Systemic Chemotherapy Combined With Apatinib in Unresectable Peritoneal Metastases From Gastric Cancer,NA,Peritoneal Metastases From Gastric Cancer,,,
NCT01394861,Endoscopic Submucosal Dissection (ESD)- Master Slave Robotic System - Human Study,EARLY_PHASE1,Endoscopic Submucosal Dissection,"the feasibility, ease and safety of flexible endoscopic robotic system to treat early gastric cancer in humans",,
NCT01983761,Study of ASC-101 in Patients With Hematologic Malignancies Who Receive Dual-cord Umbilical Cord Blood Transplantation,PHASE1,Blood And Marrow Transplantation,,,
NCT05215561,"Special Drug Use-results Survey to Evaluate Safety and Efficacy of Cosentyx in Pediatric Patients With PsV, PsA, or GPP",,Psoriasis Vulgaris,,,
NCT00965861,SCRI Tissue Testing Registry,,Melanoma,,,
NCT04035642,Phase II Study of Single-Dose Image-Guided Radiotherapy (SDRT) for Prostate Cancer,NA,Prostate Cancer,,,
NCT04940442,Outreach and Choice in Colorectal Cancer Screening,NA,Colorectal Cancer Screening,"of this clinical trial will be to compare overall colorectal cancer (CRC) screening participation between an active choice (fecal immunochemical test \[FIT\] or colonoscopy) and a sequential choice (FIT offered first, then colonoscoscopy offered in those still unscreened) arm",,
NCT01130142,A Study Evaluating IPI-926 in Combination With Gemcitabine in Patients With Metastatic Pancreatic Cancer,PHASE1,Metastatic Pancreatic Cancer,IPI 926 in combination with gemcitabine in patients with previously untreated metastatic pancreatic cancer,,
NCT00192842,Gemcitabine With Curcumin for Pancreatic Cancer,PHASE2,Pancreatic Cancer,the standard chemotherapy gemcitabine in patients with advanced pancreatic cancer,,
NCT02731742,Dose Evaluation of MK-1966 in Combination With SD-101 in Participants With Advanced Malignancies (MK-1966-001),PHASE1,"Neoplasms, Advanced",the maximum tolerated dose (MTD)/maximum administered dose (MAD) by evaluating Dose Limiting Toxicities (DLTs) of four dose combinations of MK-1966 and SD-101,,
NCT04164186,Fully Automated Pipeline for the Detection and Segmentation of Non-Small Cell Lung Cancer (NSCLC) on CT Images,,Detection,"to develop an automated pipeline that can produce swift, accurate and reproducible lung tumor segmentations",,
NCT02775786,Prospective Evaluation of MRI Biomarkers in Pancreatic Ductal Adenocarcinoma,NA,Pancreatic Adenocarcinoma,,,
NCT04430270,Perceptions of Orthopedic Prespecialists on Patient-Specific 3D Models.,,Educational Problems,the perceptions of fellows in orthopaedic surgeon training,,
NCT04019470,Immunomodulation Analysis of Radiation Therapy in Pediatric Malignant Brain Tumors,,"Brain Tumor, Pediatric",,,
NCT05725070,Phase 0/1 Study of 212Pb-NG001 in mCRPC,EARLY_PHASE1,Metastatic Castration-resistant Prostate Cancer,the imaging feasibility and safety of 212Pb-NG001,,
NCT07093073,Clinical Study of U01（ssCART-19） in Patients With B-Cell Lymphoma,PHASE1,B Cell Lymphoma,,,
NCT01298869,"The Study of Immunogenicity of Quadrivalent Vaccine Against Human Papilloma Virus (HPV) Types 6, 11, 16, and 18 (HPV-6/11/16/18) in Chronic Kidney Disease (CKD) Patients",,"Chronic Kidney Disease, Stage IV (Severe)",to investigate the immunogenicity of quadrivalent HPV-6/11/16/18 vaccination (Gardasil,HPV-6/11/16/18 vaccination (Gardasil,
NCT04319783,Darolutamide + Consolidation Radiotherapy in Advanced Prostate Cancer Detected by PSMA,PHASE2,Advanced Prostate Carcinoma,,,
NCT00906841,Study of 90Y-DOTA-hLL2 as a Consolidation Therapy After R-CHOP in Patients With Diffuse Large B-cell Lymphoma,PHASE2,B-cell Lymphoma,,,
NCT03158441,DTi Diffusion Findings in Breast MRI Screening and Diagnostic,,Breast Cancer,the correlation between the DTI analysis of breast MRI and the results of conventional contrast enhanced breast MRI,,
NCT02292641,Beyond TME Origins,NA,Neoplasms,,,
NCT05633641,Peripheral Blood Neoantigen Specific T Cells Predict the Efficacy of Immunotherapy for Esophageal Squamous Cell Carcinoma,,Esophageal Squamous Cell Carcinoma,,,
NCT07194954,Dietary Fiber and Probiotics in Advanced Colorectal Cancer,NA,Colorectal Cancer (MSI-H),"the efficacy of a 12-week combined dietary fiber and probiotic supplementation on gut microbiota, immune function, nutritional status, and survival outcomes in malnourished patients with advanced colorectal cancer undergoing conventional therapy, compared to standard nutritional support alone","a 12-week combined dietary fiber and probiotic supplementation on gut microbiota, immune function, nutritional status, and survival outcomes in malnourished patients with advanced colorectal cancer undergoing conventional therapy, compared to standard nutritional support alone",
NCT07071454,Preventing Early-Onset Colorectal Cancer in the VA,NA,Colorectal Neoplasms,2 is the focus of the trial,,
NCT00779454,Combined Biological Treatment and Chemotherapy for Patients With Inoperable Cholangiocarcinoma,PHASE2,Cholangiocarcinoma,,,
NCT02406105,An Effectiveness and Toxicity of CyberKnife Based Radiosurgery for Parkinson Disease,PHASE2,Parkinson Disease,of the study is estimation of effectiveness and safety of Cyber Knife based functional radiosurgery for Parkinson disease patients suffering from tremor,,
NCT04003805,Biomarkers of Exposure and Effect in Standardized Research E-cigarette (SREC) Users,PHASE1,"Smoking, Cigarette",ed at evaluating the value and limitations of e-cigarettes as tobacco risk reduction tools,,
NCT03043105,"TCP Regimen in Newly Diagnosed MCD:a Prospective, Single-center, Single-arm, Phase-II Pilot Trial",PHASE2,Multicentric Castleman Disease,,,
NCT01783054,"Pilot, Neoadjuvant Gemcitabine and Abraxane Chemotherapy Followed by Surgery, Adenocarcinoma of the Pancreas",EARLY_PHASE1,Adenocarcinoma Pancreas,the safety and effectiveness of the drugs Gemcitabine and Abraxane in the treatment of adenocarcinoma of the pancreas before surgery,if he or she is eligible to participate in this study,
NCT06817668,Evaluating Tolerability of ePUHRT With Brachytherapy Boost,NA,Prostate Cancer,"the tolerability and toxicity of combining two radiation therapy methods for prostate cancer: Elective Pelvic Ultra Hypofractionated Irradiation Treatment (ePUHRT), which is an external beam radiotherapy with High Dose Rate Brachytherapy Boost (form of internal radiation where a cancer doctor implants a small plastic tube or balloon (catheter) in the tumor)",,
NCT00005591,"Cetuximab Plus Gemcitabine in Treating Patients With Locally Advanced, Metastatic, or Recurrent Cancer of the Pancreas",PHASE2,Pancreatic Cancer,,,
NCT02716974,A Study of Definitive Therapy to Treat Prostate Cancer,PHASE2,Prostate Cancer,"the safety of treating men with oligometastatic prostate cancer with the following therapy: (1st) Systemic chemo-hormonal therapy with up to 6-months (\~24 weeks) of neoadjuvant androgen deprivation and up to 6 cycles of chemotherapy, (2nd) definitive local tumor control with prostatectomy +/- adjuvant radiation therapy, and (3rd) consolidative stereotactic radiation to oligometastatic lesions",,
NCT00074074,Infliximab in Treating Patients With Myelodysplastic Syndrome,PHASE2,Myelodysplastic Syndromes,,,
NCT03026374,"Effect of a Mentor-based, Supportive-expressive Program on Survival in Metastatic Breast Cancer",NA,Metastatic Breastcancer,,,
NCT06404918,Preemptive Erector Spinae Plane Block Versus Serratus Anterior Plane Block in MRM,NA,Modified Radical Mastectomy,,,
NCT04707118,Ntraperitoneal Thermal Perfusion Combined With Chemotherapy Versus Chemotherapy,PHASE1,Advanced Pancreatic Cancer,"abdominal albumin hot perfusion chemotherapy combined control of ascites and taxol in improving patients' quality of life, survival, exploring the feasibility of celiac hot perfusion chemotherapy combined albumin paclitaxel and side effects",,
NCT02316197,"Clinical Phase I Study Investigating MSC2490484A, an Inhibitor of a DNA-dependent Protein Kinase, in Advanced Solid Tumors or Chronic Lymphocytic Leukemia",PHASE1,Advanced Solid Tumors,the highest dose that does not cause unacceptable side effects,,
NCT04905810,Azacitidine or Decitabine With Venetoclax for Acute Myeloid Leukemia With Prior Hypomethylating Agent Failure,PHASE2,Acute Myeloid Leukemia,,,
NCT03679910,Evaluation of CEMIP in Pancreatic Cancer,,Pancreas Cancer,"the clinical utility of serum CEMIP, CA19-9 and CEA in pancreatic cancer patients in comparison with healthy controls and their relation to cancer staging and histopathological types",,
NCT03286413,Comparison of Microwave Ablation With Cryoablation for Breast Tumor,NA,Breast Tumor,,,
NCT06435013,Lenvatinib vs Bevacizumab Plus ICIs and HAIC in Unresectable HCC,,Hepatocellular Carcinoma,,,
NCT03322813,ExAblate Blood Brain Barrier Disruption (BBBD) for Planned Surgery in Suspected Infiltrating Glioma,NA,Glioma,"the safety and feasibility of using the ExAblate, Type 2 to temporarily disrupt the blood brain barrier in non-enhancing suspected infiltrating glioma",,
NCT06394713,A Study to Evaluate the Efficacy and Safety of QLF31907 Combination Therapy in Patients With Advanced Malignant Tumors,PHASE1,Advanced Malignant Neoplasm,the safety and efficacy of QLF31907 combination therapy in advanced malignant tumors,QLF31907 combination therapy in advanced malignant tumors,
NCT00368082,"Autologous/Allogeneic TGFbeta-resistant LMP-specific CTL, Lymphoma (TGF-beta)",PHASE1,Lymphoma,,,
NCT05821582,Study SBX-01-101: A Stool Collection Study in Colorectal Cancer (CRC) Patients Treated With Irinotecan-Based Regimens,,Colorectal Cancer,of the study is to determine whether there is a correlation between the intestinal side effects of chemotherapy treatment and the expression/activity profiles of glucuronidase enzymes in the stool microbiome of the target patient population,whether there is a correlation between the intestinal side effects of chemotherapy treatment and the expression/activity profiles of glucuronidase enzymes in the stool microbiome of the target patient population,
NCT02620423,Study of Pembrolizumab With REOLYSIN® and Chemotherapy in Patients With Advanced Pancreatic Adenocarcinoma,PHASE1,Pancreatic Adenocarcinoma,,,
NCT05830123,ARTEMIS-002: HS-20093 in Patients With Relapsed or Refractory Osteosarcoma and Other Sarcomas,PHASE2,Osteosarcoma,"the efficacy, safety, pharmacokinetics (PK) and immunogenicity of HS-20093 as a monotherapy in patients with relapsed or refractory osteosarcoma and other sarcomas",,
NCT05605223,Study of Acute Autoimmune Encephalitis With Positive Antibodies in Eastern France,,Acute Autoimmune Encephalitis,,,
NCT02781259,Selective Lymph Node Dissection Using Fluorescent Dye in Node-positive Breast Cancer,PHASE4,Breast Neoplasms,,,
NCT00068523,Ultraviolet-B Light Therapy and Allogeneic Stem Cell Transplantation in Treating Patients With Hematologic Malignancies,NA,Chronic Myeloproliferative Disorders,,,
NCT06553859,Evaluation of ADM(SC Derm® Recon) in Breast Reconstruction,,Breast Cancer Female,,,
NCT00551759,"Chemotherapy, Radiation Therapy, and Cetuximab Followed by Surgery, Docetaxel, and Cetuximab in Treating Patients With Esophageal Cancer or Gastroesophageal Junction Cancer",PHASE2,Esophageal Cancer,,,
NCT03748680,IMPROVE Intervention Trial Implementing Non-invasive Circulating Tumor DNA Analysis to Optimize the Operative and Postoperative Treatment for Patients With Colorectal Cancer,PHASE2,Colorectal Cancer,,,
NCT03892980,Robotic-Assisted da Vinci System Prophylactic Nipple-Sparing Mastectomy,NA,Nipple Sparing Mastectomy,,,
NCT00093080,"Study of AP23573/MK-8669 (Ridaforolimus), A Mammalian Target of Rapamycin (mTOR) Inhibitor, in Participants With Advanced Sarcoma (MK-8669-018 AM1)(COMPLETED)",PHASE2,Leiomyosarcoma,the efficacy of ridaforolimus when administered once daily for 5 consecutive days (QDx5) every two weeks in participants with advanced sarcoma,ridaforolimus when administered once daily for 5 consecutive days (QDx5) every two weeks in participants with advanced sarcoma,
NCT02980679,A Study to Compare the Safety and Imaging Pattern of Cyclotron-produced Technetium (CTC) vs. Generator-produced Technetium (G-PERT) in People With Thyroid Disorders Who Need Surgery,PHASE3,Thyroid Gland Diseases,of this study is to confirm that CTC is safe and can be used interchangeably with G-PERT,thyroid uptake,
NCT00670579,Study About Complications of Totally Implanted Venous Access Devices (TIVADs) in People With Cystic Fibrosis (CF),,Cystic Fibrosis,,,
NCT00001079,A Study of Megestrol Acetate Alone or in Combination With Testosterone Enanthate Drug in the Treatment of HIV-Associated Weight Loss,PHASE2,HIV Infections,,,
NCT05011279,"Move Together Boston Feasibility Pilot (Sit Less, Move More App for Black Breast Cancer Survivors & At-Risk Relatives)",NA,Breast Cancer Survivor,,,
NCT02391662,"Nab-paclitaxel and Gemcitabine, in Elderly Patients Untreated Metastatic Pancreatic Adenocarcinoma",PHASE2,Pancreatic Carcinoma Metastatic,of this study is to investigate whether the clinical benefit of nab-paclitaxel associated with gemcitabine can be extended to elderly patients with pancreatic cancer,,
NCT06579196,Trabedersen (OT-101) With Pembrolizumab for Newly Diagnosed Advanced NSCLC and Positive PD-L1,PHASE1,Non-small Cell Lung Cancer,the combination therapy in adults with certain types of Non-Small Cell Lung Cancer,,
NCT05698888,"Study of VP301 in Patients With Multiple Myeloma, Lymphoma, or Solid Tumors",PHASE1,"Solid Tumors, Adult",,,
NCT05771103,Stellate Ganglion Destruction With Alcohol Versus Thermal Ablation for Chronic Post Mastectomy Pain,NA,Post-mastectomy Pain Syndrome,,,
NCT04654403,Study of First-line Camrelizumab With or Without Chemotherapy for Advanced Esophageal Squamous Cell Cancer,NA,Esophageal Cancer,"the efficacy and safety of Camrelizumab or Camrelizumab plus chemotherapy in patients with untreated, advanced ESCC with PD-L1 CPS≥10 ,who have been achieved PR and CR after treated with Camrelizumab",,
NCT05438303,"Study to Assess the Effect of Co-Administration of AZD9833 on the Pharmacokinetics of Midazolam, of Omeprazole, of Celecoxib and of Dabigatran Etexilate in Healthy Postmenopausal Female Volunteers",PHASE1,Healthy Volunteers,,,
NCT06712927,"Trial of Relatlimab, Nivolumab, and Ipilimumab in Patients With Asymptomatic and Symptomatic Melanoma Brain Metastases",PHASE2,Melanoma,,,
NCT03561727,Risk Factors for Development of Incisional Hernia in Transverse Incisions,NA,Incisional Hernia,"The aim of this planned study is to evaluate factors, with particular reference to surgical technique of abdominal closure, accumulation of advanced glycation end products, and collagen content in the transversalis fascia, that are associated with the development of incisional hernias after transverse epigastric incisions in patients operated due to malignant tumors","factors, with particular reference to surgical technique of abdominal closure, accumulation of advanced glycation end products, and collagen content in the transversalis fascia, that are associated with the development of incisional hernias after transverse epigastric incisions in patients operated due to malignant tumors",
NCT03162627,Selumetinib and Olaparib in Solid Tumors,PHASE1,Malignant Neoplasm of Breast,,,
NCT02500927,A Study of ASP8273 in Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor-Naïve Patients With Non-Small Cell Lung Cancer Harboring EGFR Mutations,PHASE2,EGFR-TKI-naïve Patients With NSCLC Harboring EGFR Activating Mutations,"the safety, the antitumor activity and the pharmacokinetics of ASP8273 in EGFR tyrosine kinase inhibitor (EGFR-TKI)-naïve patients with non-small cell lung cancer (NSCLC) harboring EGFR activating mutations",,
NCT04372927,ADMIRAL Trial: Adaptive Mediastinal Radiation With Chemo-Immunotherapy,PHASE2,Locally Advanced Lung Non-Small Cell Carcinoma,,,
NCT05206942,Serial Ultrasound of Solid Tumor Lesions to Detect Early Response to Cancer Immunotherapy,NA,Solid Tumor,"are to evaluate if there is an optimal ultrasound imaging modality (CEUS or conventional power Doppler or LEAD ultrasound) or optimal time point to predict initial objective response and to assess the correlation of tumor perfusion parameters with change in overall tumor burden, change in diameter on a per-lesion basis, and with 12-month progression-free survival (PFS)","the correlation of tumor perfusion parameters with change in overall tumor burden, change in diameter on a per-lesion basis, and with 12-month progression-free survival (PFS)","if there is an optimal ultrasound imaging modality (CEUS or conventional power Doppler or LEAD ultrasound) or optimal time point to predict initial objective response and to assess the correlation of tumor perfusion parameters with change in overall tumor burden, change in diameter on a per-lesion basis, and with 12-month progression-free survival (PFS)"
NCT04714086,Expanded Access Program for Avapritinib,,Solid Tumors,,,
NCT06840886,A Study of PHST001 in Advanced Solid Tumors,PHASE1,Advanced Solid Tumors,the safety and tolerability of PHST001 and determine the RP2D (Recommended Phase 2 dose) of PHST001,,
NCT00782886,Evaluation of Image-Guided Liver Surgical System for Resection of Liver Cancer,,Liver Cancer,,,
NCT06160570,"IMRT Versus 3DCRT for Locally Advanced Rectal Cancer, Prospective Phase II Study.",NA,Rectal Cancer,"whether personalized planning-based nCRT for LARC would indeed decrease small bowel dose, and whether selected plans, specifically prioritizing lower dose to small bowel, would result in lower rates of acute GI toxicity compared with previously reported rates",,
